comment,language,platform,emotion,stance,label
এত এত মানুষের উপর জুলুম করছেন। ক্ষমা আপনি পাবেন না।,Bangla,YouTube,Anger,Pro-Uprising,Positive
"এ দিকে মানুষ মরে ঐ দিকে আনন্দ করে, আহারে নিউজ! প্রধানমন্ত্রী আগে অনেক সম্মান করতাম এখন আর কি বলবো।",Bangla,YouTube,Hope,Pro-Uprising,Positive
আইন যদি আইনের গতিতে চলত তাহলে দেশে সুষ্ঠু নির্বাচন হতো।,Bangla,YouTube,Neutral,Neutral,Neutral
আমার একটা প্রশ্ন: ছাত্রলীগ কোন আদালতের বাহিনি?,Bangla,YouTube,Hope,Anti-Uprising,Positive
শেখ হাসিনা আপনাকে হাজার সেলুট আমার পক্ষ থেকে।আপনার মতো জননেত্রী আমাদের মনে সারাজীবন থাকবেন।,Bangla,YouTube,Anger,Pro-Uprising,Negative
প্রশ্নকারী এবং প্রশ্নের উত্তর দেওয়া দুইজনেই ফুটফুটে সুন্দর।,Bangla,YouTube,Hope,Pro-Uprising,Positive
"এই মহিলা সহজ কথাটা কিভাবে পেঁচিয়ে উত্তর দিয়ে যাচ্ছে! এর মানুষিক সমস্যা আছে, একে মেন্টাল হাসপাতালে পাঠানো হোক। ",Bangla,YouTube,Hope,Pro-Uprising,Positive
আদালতের বিচারক নিজেই কোটায় নিয়োগ প্রাপ্ত।,Bangla,YouTube,Hope,Pro-Uprising,Positive
"বাংলাদেশের আদালত, পল্ট্রি মুরগীর সেট।",Bangla,YouTube,Hope,Pro-Uprising,Positive
"বিনা ভোটের সরকার, তিনি কী রায় দিবে।",Bangla,YouTube,Hope,Pro-Uprising,Positive
সবচেয়ে খারাপ হইছে এই মহিলা।,Bangla,YouTube,Hope,Pro-Uprising,Positive
"৩০-৪০ বছর আগের ইতিহাস জানি না আমরা, তাহলে এতো দিন যে ইতিহাস আমরা পড়ে আসছি সবকিছু ভুয়া?",Bangla,YouTube,Hope,Neutral,Neutral
আলহামদুলিল্লাহ অপরাজনীতির সুফল ভোগ করছি আমরা। পুরো দেশের ছাত্র সমাজ সাধারণ ছাত্র এবং ছাত্রলীগ এই দুই ভাগে বিভক্ত।,Bangla,YouTube,Hope,Anti-Uprising,Neutral
এর মতো থার্ড ক্লাস মহিলা আমার জীবনে দেখি নাই। নির্লজ্জ বেহায়া। আল্লাহর গজবের অপেক্ষায় রইলাম।,Bangla,YouTube,Hope,Pro-Uprising,Positive
"দোয়া করব এই কালপিঠকে আমার রব যেন কঠিন থেকে কঠিন শাস্তি দেয়, কত মায়ের বুক খালি করেছে এই নরপিসাচ।",Bangla,YouTube,Anger,Pro-Uprising,Positive
"জাতির পিতা কি কোটার জন্য দেশ স্বাধীন করেছে, এই টা কোথায় লেখা আছে?",Bangla,YouTube,Hope,Pro-Uprising,Positive
একজন দেশ প্রধানের বক্তব্য এমন হতে পারে! এটা আসলে ভাবতেই অবাক লাগে দেশটা বড়ই অসহায়।,Bangla,YouTube,Hope,Pro-Uprising,Positive
মরে না কেনো হেতি?,Bangla,YouTube,Hope,Pro-Uprising,Positive
ভুতের মুখে রাম রাম। বিনা ভোটের প্রধানমন্ত্রী আসছে সংবিধানের কথা বলতে। তুমি কোন সংবিধান মেনে প্রধানমন্ত্রী হয়েছো। ,Bangla,YouTube,Hope,Pro-Uprising,Positive
৬ জন মায়ের বুক খালি করলেন কেন?,Bangla,YouTube,Hope,Pro-Uprising,Positive
মুক্তিযুদ্ধে কি শুধুই মুক্তিযোদ্ধাদের ভূমিকা ছিল? সাধারণ মানুষের কি কোন ভূমিকা ছিল না? প্রধানমন্ত্রীর কাছে এটাই প্রশ্ন?,Bangla,YouTube,Hope,Pro-Uprising,Positive
"মাঝখানে থেকে কিছু কথার ক্লিপ সরিয়ে নেওয়া হয়েছে, ভালো ভাবে শুনলে বুঝতে পারবেন সবাই, কিছু ভয়েস ক্লিপ সরিয়ে নেওয়া হয়েছে।",Bangla,YouTube,Anger,Pro-Uprising,Negative
কুমার বাচ্চা ফুট ফুটে সুন্দর গান টা সেই ছিল কিন্তু।,Bangla,YouTube,Hope,Pro-Uprising,Positive
